"","x"
"2816",60157461.3953288
"2817",60779802.9822935
"2818",59771320.853834
"2819",60394272.7821462
"2820",60846363.5326224
"2821",59805345.4161492
"2822",60143304.2622064
"2823",60188986.5329743
"2824",60295467.4308168
"2825",61339841.4937136
"2826",60586446.344698
"2827",60194926.5294189
"2828",59736602.2652938
"2829",59627723.5750105
"2830",59817541.6813445
"2831",60451011.0121657
"2832",60699703.3488182
"2833",59523988.0805734
"2834",59913033.9011358
"2835",59807600.3650833
"2836",60121787.9401721
"2837",59178996.5674701
"2838",59351793.3189886
"2839",57547793.9466283
"2840",59892558.8592015
"2841",59634099.1173211
"2842",59970051.0353686
"2843",60519873.401205
"2844",60902984.3148535
"2845",60603878.6659908
"2846",59810448.6866647
"2847",61761472.5777507
"2848",59976565.8958442
"2849",60632722.2684242
"2850",58870803.4596411
"2851",59787933.593309
"2852",59949514.0899315
"2853",61002227.2013559
"2854",59950889.5002076
"2855",59831629.0773255
"2856",59002265.0940884
"2857",60245099.278328
"2858",59816139.6859359
"2859",58599887.5204682
"2860",61751329.9408424
"2861",59546146.1875429
"2862",59580693.8274085
"2863",60081995.6511842
"2864",60143144.8018727
"2865",59590749.4053182
"2866",60497795.5015598
"2867",60075376.2758355
"2868",59844317.6995302
"2869",59678359.225568
"2870",60577413.8545492
"2871",60767283.6799133
"2872",59787426.3156311
"2873",59431155.1606043
"2874",60530078.8228689
"2875",59979131.6102587
"2876",60314257.758465
"2877",59989517.9463639
"2878",59214381.6637921
"2879",62116041.7414022
"2880",60499402.1544402
"2881",61609357.2416191
"2882",60272725.2617529
"2883",59999037.4390909
"2884",60120570.8018751
"2885",59368153.3814011
"2886",61711358.5105889
"2887",61219529.143853
"2888",60771312.9895429
"2889",59312510.2216608
"2890",59886762.5053332
"2891",60201816.254625
"2892",59432109.7743162
"2893",61086602.9369957
"2894",60245242.6206496
"2895",60444781.2761914
"2896",61203615.5580118
"2897",60956217.9343071
"2898",60907246.4418763
"2899",60940985.1183123
"2900",59482658.4247454
"2901",60901600.4129077
"2902",60280984.5519345
"2903",59345564.7581176
"2904",60572956.9030863
"2905",61004955.8734117
"2906",59174058.9243432
"2907",60791622.4553298
"2908",59322467.5062796
"2909",60123294.7703889
"2910",60950306.3172493
"2911",59900938.1456969
"2912",61524509.9057912
"2913",60445736.0263476
"2914",60187041.0606857
"2915",61447394.3898285
"2916",60133539.5767527
"2917",61633465.839977
"2918",59721396.610206
"2919",60188672.6054109
"2920",58670739.3606349
"2921",60942015.4669663
"2922",60490700.0139682
"2923",59491595.8118958
